Code,Food Name,대분류,중분류,fc,vg,cs,si
D07022,유자스무디,음료 및 차류,과일 및 과채음료,FC14S03,VG02,CS13,SI10
D07023,유자차,음료 및 차류,과일 및 과채음료,FC14S06,VG01,CS01,SI08
D07024,자몽에이드,음료 및 차류,과일 및 과채음료,FC14S08,VG01,CS12,"SI10, SI11"
D07026,자몽차,음료 및 차류,과일 및 과채음료,FC14S06,VG01,CS13,SI08
D07027,청귤에이드,음료 및 차류,과일 및 과채음료,FC14S08,VG01,CS13,SI10
D07028,청귤차,음료 및 차류,과일 및 과채음료,FC14S06,VG01,CS13,SI08
D07029,청포도에이드,음료 및 차류,과일 및 과채음료,FC14S08,VG01,CS12,SI10
D07030,체리콕에이드,음료 및 차류,과일 및 과채음료,FC14S08,VG01,CS12,SI08
D07031,키위스무디,음료 및 차류,과일 및 과채음료,FC14S03,VG02,CS12,SI10
D07032,키위주스,음료 및 차류,과일 및 과채음료,FC14S01,VG01,CS12,SI10
D07033,토마토주스,음료 및 차류,과일 및 과채음료,FC14S01,VG01,CS12,SI10
D08001,고구마라떼,음료 및 차류,유제품,FC14S04,VG02,CS13,"SI01, SI08"
D08002,그린밀크티,음료 및 차류,유제품,FC14S04,VG02,CS13,SI10
D08003,녹차라떼,음료 및 차류,유제품,FC14S04,VG02,CS13,SI10
D08005,말차라떼,음료 및 차류,유제품,FC14S04,VG02,CS13,SI10
D08006,미숫가루,음료 및 차류,유제품,FC14S02,VG01,CS01,SI08
D08007,민트초코라떼,음료 및 차류,유제품,FC14S04,VG02,CS13,
D08008,밀크쉐이크,음료 및 차류,유제품,FC14S04,VG02,CS12,SI10
D08009,바나나쉐이크,음료 및 차류,유제품,FC14S04,VG02,CS12,SI10
D08011,아이스초코,음료 및 차류,유제품,FC14S04,VG02,CS12,
D08012,얼그레이밀크티,음료 및 차류,유제품,FC14S04,VG02,CS12,SI10
D08013,연유라떼,음료 및 차류,유제품,FC14S04,VG02,CS12,SI10
D08014,오곡라떼,음료 및 차류,유제품,FC14S04,VG02,CS13,SI10
D08015,인절미빙수,음료 및 차류,유제품,FC13S01,VG02,CS13,"SI10, SI08"
D08016,죠리퐁라떼,음료 및 차류,유제품,FC14S04,VG02,CS13,SI06
D08018,초코밀크티,음료 및 차류,유제품,FC14S04,VG02,CS13,SI10
D08019,초코쉐이크,음료 및 차류,유제품,FC14S04,VG02,CS12,
D08022,팥빙수,음료 및 차류,유제품,FC13S01,VG02,CS13,"SI10, SI08"
D08023,플레인요거트스무디,음료 및 차류,유제품,FC14S03,VG02,CS12,SI10
D08024,핫초코,음료 및 차류,유제품,FC14S04,VG02,CS12,
D08026,흑당밀크티,음료 및 차류,유제품,FC14S04,VG02,CS13,"SI10, SI08, SI07"
D09001,녹차,음료 및 차류,잎차류,FC14S06,VG01,CS03,
D09002,루이보스차,음료 및 차류,잎차류,FC14S06,VG01,CS12,
D09004,얼그레이,음료 및 차류,잎차류,FC14S06,VG01,CS12,
D09005,카모마일차,음료 및 차류,잎차류,FC14S06,VG01,CS12,
D09006,호박식혜,음료 및 차류,잎차류,FC14S02,VG01,CS01,"SI08, SI01"
